Название продукта,Описание
iOS-разработчик,"Мы предлагаем:     Оформление по ТК с первого рабочего дня в IT- компанию ""АВТОДОК АйТи"";   Полностью белая заработная плата. Выплаты 2 раза в месяц на карту. Без задержек;   Дружный и нацеленный на результат коллектив;   Обучение сотрудников внутри компании;   Профессиональный и карьерный рост;   График работы: 5/2 офис (удаленного формата нет);   Место работы: м. Комсомольская, ул. Ольховская 4к2. Бизнес-центр ""Melnikoff House"".     Обязанности:     Разработка нового функционала для приложения  «Автодок» .   Взаимодействие с командой  backend ’а.   Поддержка и оптимизация существующих модулей.   Создание красивых  c ustom  v iew  - компонентов.   Тестирование приложения.     Требования:     Уверенное владение  Swift 5.5 , SwiftUI 3 .   Знание архитектурных паттернов ( MVC ,  MVVM ).   Обязателен опыт разработки под  iPad  (у нас полностью нативная версия).   Понимание принципов работы клиент-серверных приложений ( REST   API  + токены).   Опыт многопоточного, асинхронного программирования ( GCD ,  async / await ).   Умение работать с  UI,  как в  Interface Builder 'е ( Storyboard ,  XIB ), так и в коде.   Владение особенностями различных версий  iOS .   Написание чистого поддерживаемого кода и грамотное следование  Human   Interface   Guidelines .   Наличие опубликованных приложений в  App Store .     Личные качества:     Приоритет собственным разработкам, а не внешним библиотекам.   Усидчивость в доведении своих решений до идеала.   Внимательность к мельчайшим деталям и творческий подход.              "
Android-разработчик,"«Ювенко»  является одним из крупнейших российских производителей оборудования для индустрии самообслуживания.   С 2005 года компания активно развивает производство платежных терминалов, торговых автоматов, банковских терминалов, почтамтов на собственном заводе, расположенном в Санкт-Петербурге.    Торговые автоматы, кофейные автоматы, платежные терминалы производства компании «Уникум» успешно используются сотнями операторов.   Мы ищем человека, который станет частью дружной команды, поделится с нами своим опытом, и поможет нам создавать инновационные продукты в нашей сфере.   Обязанности:     Разработка UI-приложений под Android на Java/Kotlin;   Работа с железом (на уровне составления и написания протоколов), и одноплатными компьютерами (Orange PI, Rasbperry PI);   Работа с компиляцией образов Android;   Участие в принятии технических решений и планировании процесса разработки в команде.     Требования:     Опыт разработки приложений для Android от двух лет;   Знание Java/Kotlin, Compose, Android SDK, MVI, Clean architecture, Kotlin Coroutines;   Опыт разработки UI;   Работа с камерой (библиотеки Camera2, CameraX);   Работа со звуком -микрофон/динамики;   Понимание принципов Material Design и руководств построения UI;   Понимание и опыт работы с сетевыми протоколами;   Опыт работы с GitLab,Azure, Jira;   Умение работать в команде, включая UX/UI-дизайнера;   Умение проводить unit-тесты;   Умение писать стабильный код.     Желательно, будет преимуществом:     Наличие публикаций в Google Play или иное портфолио;   Умение оптимизировать производительность Android-приложений;   Опыт разработки приложений для одноплатных компьютеров.     Условия:     Крупная компания-производитель со стабильными условиями;   Работа удалённо ПО РФ с графиком 5/2: 9.30 -18.00;   Возможность взять day-off при необходимости;   Комфортные условия труда.  "
Android-разработчик,"Кого мы ищем:  android разработчика с опытом от 2-х лет с желанием создать и поддерживать качественный продукт для клиентов.   О проекте:  Loymax — универсальная платформа, которая предлагает комплекс решений: CRM-систему/процессинг для создания и управления программами лояльности, модуль для коммуникаций с клиентами, аналитический модуль и рекомендательную систему на базе машинного обучения .   Вам предстоит разрабатывать приложение, которым будут пользоваться клиенты наших партнеров. Стек:  Kotlin, MVVM, Coroutines, flow, Room, Hilt + Dagger, Retrofit + OkHttp, Rest, Android Jetpack Libs, Android SDK (API lvl >= 21).   Мы бы хотели, чтобы кандидат имел:       коммерческий опыт разработки мобильных клиент-серверных приложений под Android от 2 лет;       опыт работы с REST API в приложениях;       понимание архитектурных UI паттернов MVVM/MVI;       опыт работы с многомодульными приложениями;       опыт использования Single Activity подхода;       опыт работы с Gradle и CI/CD;       опыт работы с Git.       Будет преимуществом:       понимание Xamarin, C#, Java;       опыт разработки приложения с нуля;       опыт выкладывания в Google Play, AppGallery, RuStore;       опыт с Rx, Compos.       Чем предстоит заниматься?       перевод основного приложения с Хamarin на нативный Android;       разработка многомодульного приложения;       поддержка стабильности приложения;       регулярный выпуск обновлений;       своевременная реакция на требования магазина и изменения в платформе.       Что вам может быть интересно о Loymax:       сейчас мы сотрудничаем с 70+ партнерами по всей стране и в ближнем зарубежье.       у нас несколько офисов в 3-х городах России: Томск, Новосибирск и Москва. И один офис за рубежом - в Бишкеке.       мы ориентированы на работу в офисе, у нас гибкое начало рабочего дня. В целом - мы гибко относимся к графику и потребностям людей, если есть необходимость поработать из дома, то мы идем на встречу.       каждый год мы проводим аттестации, на которой определяем траекторию дальнейшего развития и рост зарплаты каждого.       у нас есть своя волейбольная команда и к ней может присоединиться любой желающий с первого рабочего дня.       Условия у нас ─ это:       работа в аккредитованной it компании;       официальное трудоустройство, полностью белая заработная плата;       у нас стандартная пятидневная рабочая неделя и гибкое начало рабочего дня - с 8.00 до 10.00;       мы уважаем индивидуальность каждого, поэтому у нас нет дресс-кода;       мы поощряем развитие наших сотрудников, оплачиваем обучающие курсы;       мы заботимся о здоровье наших сотрудников, поэтому предлагаем компенсацию мед. обслуживания после 6 месяцев работы в компании;       мы поощряем занятия спортом, поэтому компенсируем часть стоимости спортивного абонемента ежемесячно, начиная с 6 месяца работы в компании;       в наших уютных кухнях всегда есть ароматный кофе и чай, сладости и фрукты;       мы знаем как важно в течение рабочего дня переключаться на качественный отдых, поэтому мы создали прекрасную релакс зону, где можно расслабиться на мягких диванчиках, поиграть в настольный теннис, почитать или сделать массаж в кресле YAMAGUCHI.        "
Android-разработчик,"Мы - продуктовая команда, которая девять лет делает большие и прибыльные проекты для автовладельцев. Это web и мобильные приложения с более чем 40 миллионами установок. У нас опытные разработчики, data-driven подход и гибкий процесс работы.   Основной стек:  Kotlin, MVP (Moxy), MVVM, RxJava 3, Coroutines, Room, Hilt + Dagger, Retrofit + OkHttp, Azure DevOps. Мигрируем на KMM, Jetpack Compose, MVI.   Что нужно будет делать:     Мигрировать текущую кодовую базу на KMM, Jetpack Compose, MVI.   Разрабатывать новый функционал.   Участвовать в принятии технических решений.     Что мы ожидаем:     Уверенное знание Kotlin, корутин и многопоточности.   Написание понятного, поддерживаемого и тестируемого кода.   Понимание используемых технологий и способность аргументировать свои решения.   В наличии доведенный до релиза проект для Android.     У нас:   — Официальное трудоустройство.  Да, мы выплачиваем белую зарплату на банковскую карту, а не в конверте, и делаем все налоговые отчисления. Да, это не плюшка, это наша обязанность. Пишем, потому что это важно.   Мы аккредитованная ИТ-компания.   — Зарплата в рынке.  Мы готовы идти навстречу кандидату в его пожеланиях по зарплате, если они коррелируют с опытом.   — Бизнес без финансовых рисков.  Мы давно прибыльные и самоокупаемые, без инвесторов и рисков, связанных с ними.   —  ДМС.  Компенсируем 100% стоимости медицинских услуг со стоматологией с первого рабочего дня.   — Заботимся . Купим технику на выбор и ПО, оплатим книги и курсы. Отправим на конференцию, частично оплатим занятия спортом и английским языком. Для сотрудников, которые работают в офисе, оплатим питание в сервисе Яндекс Go с чеком 1300 руб./день.   — Если ты не из Москвы, поможем с переездом . Оплатим дорогу и первый месяц аренды квартиры в размере 40 тысяч рублей.   — Отдыхаем вместе.  В последний четверг месяца проводим четверю: вечером идем на мастер-класс по рисованию или игре на джембе, на занятие по скалолазанию или фехтованию - идей масса, завершаем вечер в баре. Два раза в год устраиваем большой корпоратив.   — Удобный офис.  Он расположен в современном БЦ Manhattan в 5 минутах ходьбы от Бауманской или в 10 минутах от Красносельской. Разделен на тихую рабочую зону и лаунж с переговорками, кухней, диванами. Есть где спокойно поработать, есть где пошуметь.   — Удобный график.  начинаем работать в интервале с 8 до 11 утра (офис/гибрид/удаленная работа)"
Android-разработчик,"Мы – команда  ubic . tech   - разработчик передовых инфраструктурных решений в сфере городских, телекоммуникационных, банковских и рекламных сервисов. Мы строим проекты с использованием методов обработки больших данных, машинного обучения, конфиденциальных вычислений. Наши решения применяются в госсекторе, банковской сфере, маркетинге. Для усиления команды ищем Android разработчика.   Мы пишем большой b2c (g2c) проект. Имеем длинный план развития.   80% работы будет связано с разработкой нового функционала, 20% с багфиксингом и отладкой текущего. Наш стек Сompose (MVI) и XML (MVVM), Koin/HiltDagger (DI), Coroutines, Retrofit, OkHttp   Задачи, которые предстоит решать:     Писать чистый, тестируемый и хорошо поддерживаемый код на Kotlin;   Проводить ревью кода коллег;   Принимать участие в обсуждении требований на новый функционал, в том числе дизайн, пользовательский опыт, технологическое решение;   Общение с заказчиком (по желанию).     Идеальный кандидат для нас:     Уверенно знает Kotlin и имеет опыт написания под Android от 2,5 лет;   MVVM, Koin/HiltDagger (DI), Compose, Coroutines, Retrofit, OkHttp;   Знает сети (tcp/udp, sip);   Умеет писать длинные формы со сложным бизнес-процессом;   Имеет опыт работы с ci/cd (у нас gitlab);   Знает особенности работы firebase, play market.     Мы предлагаем:     Оформление в соответствии с ТК РФ и полностью «белый» доход;   Работа в аккредитованной ИТ компании;   Конкурентный уровень заработной платы - мы высоко оцениваем любой вклад в развитие наших проектов;   Комфортный график работы  удаленно/гибрид/в офисе  с гибким началом рабочего дня (офис Мск, м. Новокузнецкая/Третьяковская);   Оборудование на выбор: Windows, Linux или Maс. Ноутбук или стационарный компьютер и любое разумное число мониторов;   Занятия английским языком за счет компании;   Возможность оплаты профессиональных курсов и повышения квалификации;   Правильный отдых. Например, новогодний корпоратив 2019/2020 был в Иордании, осень 2020/2021 встречали в Сербии, весна 2023 были в Омане, грандиозные планы на 2024 год;   Душевные посиделки в офисе (у нас есть приставки и настольный теннис во дворе).  "
Тестировщик ПО,"Компания NodaSoft - разработчик онлайн сервисов для автобизнеса. Мы создали продукты и сервисы, которыми пользуются тысячи компаний, предпринимателей и розничных клиентов в России и по всему миру.   Миссия компании: создание надёжных сервисов, стандартизация и унификация данных и решений в любой предметной области, применение принципа повторного использования данных и программного кода во всех создаваемых продуктах, снижение экономических издержек и доступность продуктов компании даже для начинающего бизнеса.   Основной продукт компании  платформа  ABCP  - SaaS решение для предпринимателей для создания интернет-магазина автозапчастей ""под ключ"" и насчитывает более 2000 постоянных клиентов   Мы предлагаем:     интересные задачи в highload-проектах;   работу в компании с нормальным руководством;     Мы ожидаем, что Вы:     знаете основные виды тестирования;   имеете опыт работы с подготовкой тест-планов, тест-кейсов, сценариев тестирования;   имеете опыт тестирования API;     имеете базовые знания по работе с консолью разработчика в браузере;       внимательны к мелочам и поэтому в сопроводительном письме вы напишете слово ""ping"";       базовые знания SQL приветствуются;       опыт работы с docker приветствуется;       опыт работы тестировщиком приветствуется.       Условия:     работа в стабильной IT-компании (с 2008 года на рынке);   график работы пн-пт, восьми часовой рабочий день (начало работы обсуждается);   удаленная работа  "
Тестировщик ПО,"Компания BURGER KING® приглашает в команду  Специалист   по   тестированию /  Тестировщик     Немного о нас: BURGER KING – компания с мировым именем, начиная с 1954 года.   Сегодня в России открыто более 800 ресторанов и, поверьте, это только начало!   МЫ СТРОИМ КАРЬЕРУ СО ВКУСОМ, МЫ ЖИВЕМ С ОГНЕМ В СЕРДЦЕ!   Новым сотрудником нашей Команды Мечты можешь стать ты, если у тебя:     Опыт работы в тестировании от 2-х лет   Опыт работы с базами данных   Понимание основ теории тестирования. Знание методик тестирования  ПО   Опыт работы с баг-трекинговыми системами   Опыт написания тестовой документации (чек-листы, тест-кейсы)   Опыт работы с инструментами для тестирования API (Postman, Insomnia)   Знание методологий Agile-разработки и опыт работы в Agile-среде.     Владение программами: - Python, insomnia/ postman, jira, conflunce   Тебе предстоит решать следующие задачи:   - Тестирование бэкенда мобильного приложения и интеграций - Написание тест- кейсов - Соблюдение сроков  по  тестированию и выполнению задач - Ежедневные встречи с командой - Работа в команде с разработчиками,  тестировщиками  и аналитиками - Участие в планировании спринта - Проведение регрессионного тестирования   Мы предлагаем тебе:   • ""Гибридный"" или ""удалённый"" формат работы;   • Уверенность в завтрашнем дне: оформление  по  ТК РФ;   • Заботу о твоем здоровье: надежная программа ДМС (после 3х месяцев работы в Компании);   • Работу в команде лучших: сплоченный коллектив единомышленников;   • Амбициозные задачи: участие в разработке и внедрении федеральных проектов Компании.   ПОЛУЧАЙ УДОВОЛЬСТВИЕ ОТ СВОЕЙ РАБОТЫ ВМЕСТЕ С НАМИ!"
Тестировщик ПО,"Основные задачи:     Функциональное тестирование программного обеспечения наземных пунктов управления БЛА;   Разработка программ и методик испытаний функционального и технологического  ПО ;   Написание тест-кейсов, составление контрольных примеров и планов тестирования;   Фиксирование обнаруженных несоответствий в системе управления изменениями;   Выполнение официального тестирования  ПО  при участии представителя заказчика.     Наши требования:     Знание/понимание основ жизненного цикла  ПО ;   Опыт работы с Linux (желательное требование);   Опыт/понимание работы  по  тестированию  ПО .     Мы предлагаем:     Оформление  по  ТК РФ;   ДМС (со стоматологией);   Пятидневная рабочая неделя - офис, гибкий подход к началу и окончанию рабочего дня;   Рабочее место - офис на Васильевском острове;   Дополнительные оплачиваемые дни отпуска;   Коллектив профессионалов и единомышленников;   Скидки от компаний-партнёров на изучение английского языка, занятия спортом;   Развитую корпоративную культуру (футбольная команда, проводятся соревнования  по  различным видам спорта);   Сотрудники компании имеют возможность отсрочки от призыва на срочную службу и  по  мобилизации.  "
Тестировщик ПО,"Основные задачи:     Функциональное тестирование программного обеспечения наземных пунктов управления БЛА;   Разработка программ и методик испытаний функционального и технологического  ПО ;   Написание тест-кейсов, составление контрольных примеров и планов тестирования;   Фиксирование обнаруженных несоответствий в системе управления изменениями;   Выполнение официального тестирования  ПО  при участии представителя заказчика.     Наши требования:     Знание/понимание основ жизненного цикла  ПО ;   Опыт работы с Linux (желательное требование);   Опыт/понимание работы  по  тестированию  ПО .     Мы предлагаем:     Оформление  по  ТК РФ;   ДМС (со стоматологией);   Пятидневная рабочая неделя - офис, гибкий подход к началу и окончанию рабочего дня;   Рабочее место - офис на Васильевском острове;   Дополнительные оплачиваемые дни отпуска;   Коллектив профессионалов и единомышленников;   Скидки от компаний-партнёров на изучение английского языка, занятия спортом;   Развитую корпоративную культуру (футбольная команда, проводятся соревнования  по  различным видам спорта);   Сотрудники компании имеют возможность отсрочки от призыва на срочную службу и  по  мобилизации.  "
Разработчик игр на Unreal Engine,"Задачи: Программирование поведения для различных игровых сущностей; Работа с моделями персонажей, анимациями, скелетами, настройка рига, инверсной кинематики и пр.; Создание и интеграция сюжетных событий, катсцен с участием анимированных персонажей; Работа с лицевыми анимациями, тканью, повреждениями, материалами персонажй, озвучкой. Требования: Опыт работы с Unreal Engine 4 от 3 лет; Опыт программирования от 3 лет; Знание сетевой части Unreal Engine; Знание Behavior Tree, Animation Graph, State Machine; Участие в игровых проектах. Что предлагаем: Комфортный график работы и возможность подстраивать рабочее время под себя; Релокация на Кипр; Среда для развития: работа плечом к плечу с лучшими профессионалами; Достойная зарплата по итогам собеседования, возможности для карьерного роста."
Разработчик игр на Unreal Engine,"Обязанности: Разработка игровых командных VR игр; Написание кода игровой логики на C++ и Blueprints; Проектирование мультиплеерных архитектурных решений; Проектирование игровых механик; Рефакторинг имеющегося кода, в целях оптимизации и/или исправления ошибок; Взаимодействие с другими разработчиками, моделлерами, левелдизайнерами, бэкендерами. Требования: Уверенное владение Unreal Engine; Продвинутое знание С++ в контексте UE; Опыт разработки VR-проектов; Опыт разработки сетевого кода в многопользовательских играх реального времени; Понимание работы репликации переменных и RPC, ролей и принципов обмена данными в Unreal Engine клиент-сервер на уровне игрового движка; Умение работать с системами контроля версий; Технический английский, достаточный для чтения документации; Системное мышление, высокая степень самоорганизации и способности к самообучению; Нацеленность на результат, соблюдение дедлайнов; Умение коммуницировать и работать в команде. Будет плюсом: Опыт работы и сборка проектов для Meta Quest и Pico; Опыт работы с системами трекинга в VR; Умение проектировать архитектуру игровых проектов с нуля. Условия: Работа над интересными проектами, двигающими VR индустрию вперед; Возможно официальное оформление; Молодой коллектив VR-энтузиастов с массой новейшего VR / AR оборудования; Своевременная оплата (дважды в месяц); Просторные офисы в Москве (Москва-Сити) и в Минске (БЦ “Футура”); Помощь в релокации для регионов."
Разработчик игр на Unreal Engine,"Основная задача: Проектирование и реализация сетевой архитектуры для многопользовательских проектов на игровом движке Unity. Обязанности: Разработка сетевой логики; Проектирование, реализация, отладка и поддержка сетевых механик; Оптимизация проекта и повышение производительности; Рефакторинг имеющегося кода; Ежедневное участие в онлайн планерках, с целью устранения возникших проблем, а также помощи товарищам по команде; Участие в тестах разрабатываемого продукта. Требования: Опыт работы с Unity от 3х лет. Хорошее знание C#, ООП, SOLID. Опыт создания игровых механик. Опыт работы с мультиплеером. Понимание клиент-серверной архитектуры. Понимание сетевых протоколов. Наличие завершенных проектов или пет-проектов, которые можно продемонстрировать. Умение анализировать производительность и проводить оптимизацию. Понимание всех циклов разработки игрового продукта. Умение работать с системами контроля версий Git. Умение работать в команде. Нацеленность на результат, соблюдение дедлайнов. Технический английский, достаточный для чтения документации. Интерес к созданию VR проектов; Будет плюсом: Знание мультиплеерных движков: Photon, Mirror, NetCode; Опыт реализации собственных мультиплеерных движков; Проектирование БД и знание SQL; Опыт работы с Docker, Cubernets, CI / CD; Опыт работы с VR и сборка проектов для Meta Quest и Pico; Реализация подгрузки динамического контента. CDN. Условия: Работа над интересными проектами, двигающими VR индустрию вперед; Возможно официальное оформление; Молодой коллектив VR-энтузиастов с массой новейшего VR / AR оборудования. Своевременная оплата (дважды в месяц). Просторные офисы в Москве (Москва сити) и в Минске (БЦ “Футура”)."
